english,farsi
summoning,فرا خوانی
summoning,فراخواندنی
summum,ابرنیک
sump,لجن وکثافت
sums,مبالغ
sums,وجوه
sun,خورشید
sun,جهانتاب
sun,افتاب
sun,هور
sun declination,زیغ الشمس
sun eclipse,افتاب گرفتگی
sun of a gun,مردکه
sunbeam,تیغ افتاب
sunburn,افتاب زدگی
sunburnt,افتاب زده
Sunday,روز یکشنبه
Sunday,یکشنبه
Sunday,یکشنبه
Sunday night,یکشنبه شب
Sunday Times,ساندی تایمز
sundries,خردهریز
sunflower,گل افتاب پرست
sunflower,روزگردک
sunflower,روز گردک
sunglass,عینک دودی
sunglasses,عینک دودی
sunken,غرق شده
sunken,درته اب
sunken,فرورفته
sunless,بی افتاب
sunni,اهل سنت
Sunni,سنی
Sunni,سنی
sunnism,مذهب تسنن
Sunnite,سنی
Sunnite,سنی
sunny,افتاب رو
sunny,افتاب گیر
sunny,افتابی
sunrise,مطلع
sunrise,سحرگاه
sunrise,طلوع خورشید
sunset,افول
sunset,غروب
sunshade,افتاب گردان
sunshade,چتر افتابی
sunshade,سایبان
sunshine,نور افتاب
sunstroke,افتاب زدگی
sunstruck,افتاب زده
sunstruck,گرمازده
super,اعلاء
super,اعلی
super,اعلا
super abundance,وفور نعمت
Super Computer,ابر کامپیوتر
super computer,ابرکامپیوتر
Super Jumbo Jet,سوپر جمبو جت
super market,سوپرمارکت
superabundance,استفاضه
superadd,سربار کردن
superb,بسیار خوب
supercomputer,ابرکامپیوتر
supercomputer,فوق کامپیوتر
superconductivity,فوق هدایت
superconductivity,ابرهدایت
superconductor,فوق هادی
superego,نفس اماره
superelevation,درجه بلندی
superelevation,درجه ارتفاع
supereminence,علو مقام
supererogatory,غیر ضروری
superficial,صوری
superficial,صوری
superficial,سطحی
superficial,بی مایه
superficial knowledge,بیمایگی
superficial observer,ضاهر بین
superficial observer,ضاهر بین
superficially,صورتا
superfine,بسیار ظریف
superfluous,غیر ضروری
superhighway,اتوبان
superhuman,مافوق انسانی
superimposable,قابل تحمیل
superimposable,قابل تزاید
superintendence,نظامت
superintendent,ناظم
superior,مافوق
superior,مطاع
superior,ارشد
superior,علوی
superior,سرامد
superior,چیره
superior,بالادست
superior,ممتاز
superior,برتر
superior,مافوق
superiority,افضلیت
superiority,شرف
superiority,برتری
superiority,تفوق
superiority,چیرگی
superiority,ارشدیت
superiority,بزرگتری
superlative,درجه عالی
superlative,مبالغه امیز
Superman,ابر مرد
superman,ابر مرد
supermarket,فروشگاه بزرگ
supernal,وابسته بعالم بالا
supernatural,خرق عادت
supernatural,مافوق طبیعت
supernatural,فوق العاده
supernova,ابرنواختر
supernova,ابر نو
supernumerary,فوق عددی
superordinate,شخص بالاتر
superphysical,ابر جسمی
superpower,ابر نیرو
superpower,ابرقدرت
superscript,بالانویس
supersession,لغو شدگی
supersession,لغو سازی
supersonic,فراصوت
supersonic,فراصوت شناسی
superstitions,موهومات
superstitious,موهوم پرست
superstitious,خرافاتی
superstitious,موهوم
superstitious,خرافی
superstratum,رولایه
superstratum,ابر لایه
superstructure,روسازی
superstructure,روساخت
superstructure,بنای فوقانی
superstructure,روبنا
superstructure,اعصه و اعیان
supersubtlety,زرنگی بسیار
supervene,اتفاقا امدن
supervene,تصادفی روی دادن
supervene,ناگهان رخ دادن
supervenience,رویداد ناگهانی
supervenient,غیر منتظره
supervise,برنگری کردن
supervise,نظارت کردن
supervise,مباشرت کردن
supervision,برنگری
supervision,مراقبت
supervision,نظارت
supervision,مباشرت
supervision,سرپرستی
supervisor,سرپرست
supervisor,ناظر
supervisor,مباشر
supervisor,مباشر
supervisory,نظارتی
suplemental,الحاقی
supper,شام
supper,عشا
supplantation,قلع وقمع
supple,کش دار
supplement,ضمیمه
supplement,تکمله
supplementary,تکمیلی
supplementary,مکمل
supplementary angles,زوایای مکمل
supplementation,هم اوری
supplementation,تکمیل
supplements,ضمائم
suppliant,متضرع
supplicant,ملتمس
supplicate,استرحام کردن
supplication,صلات
supplier,تهیه کننده
supplier,کارپرداز
supplier,متصدی ملزومات
supplier,تهیه کننده
supplies,اذوقه
supplies,ملزومات
supply,عرضه
supply,تهیه کردن
supply and demand,عرضه و تقاضا
supply department,کارپردازی
supply port,درگاه تدارکاتی
supplying the needs,رفع احتیاجات
support,تکیه گاه
support,نگاهداری
support,جانبداری
support,حرز
support,جانب داری
support,هواداری
support,پشتیبانی
support,پشت و پناه
support,پشتگرمی
support,پشت بند
support,طرفداری
support,هواخواهی
support,حمایت
support,پشت گرمی
support,حمایت کردن
support,پشتی کردن
support,پشتیبانی کردن
support,هواداری کردن
supported,مستظهر
supported,مستند
supporter,جانبدار
supporter,هواخواه
supporter,جانب دار
supporter,طرفدار
supporter,محافظ
supporter,حامی
supporter,ضهیر
supporter,هوادار
supporter,پشتیبان
supporters,پشتی کنندگان
supporting,مظروف
supporting,طرفدار
supportless,بی حامی
supposable,قابل فرض
supposable,فرض کردنی
suppose,فرض کنید
suppose,فرضکردن
suppose,پنداشتن
suppose,انگار کردن
suppose,تصور کردن
supposed,مفروض
supposed,گیرم
supposed,فرضی
supposedly,بفرض
supposing,بالفرض
supposition,گمان
supposition,انگاشت
suppositions,مفروضات
suppository,شیاف
suppository,شاف
suppress,سرکوب کردن
suppress,فرو نشاندن
suppress,سرکوبی کردن
suppressed,پایمال
suppressed,موقوف شده
suppressing,فرونشانی
suppressing,فرونشینی
suppression,پایمالی
suppression,سرکوبی
suppression,سرکوب
suppressive,فرونشاننده
suppressive,موقوف سازنده
suppressive,فرونشاننده
suppurate,فساد جمع شدن
suppurate,چرک نشستن
suppurative,ریم اور
supreme,عظما
supreme,عالی
supreme command,سرفرماندهی
Supreme Council for the Islamic Revolution in Iraq,مجلس مقننه
Supreme Council of the Islamic Revolution in Iraq,مجلس اعلای اسلامی عراق
supreme court,دیوان عالی کشور
Supreme Leader,ولی فقیه
supressed,منکوب
suprise,متعجب کردن
surcharge,نرخ اضافی
surcharge,زیاد ستاندن
surcharge,مالیات اضافی
surcharge,سربار
surcharge,اضافه بها
surd,رادیکال
sure,استوار
sure,خاطرجمع
sure,مسلم
sure,حتمی
surefooted,بی لغزش
surely,بداخم
surely,البته
surely,مسلما
surely,محققا
surely,علیالتحقیق
surely,بطور حتم
surety-bond,ضمانت نامه
surf,خیزاب
surf riding,موج بازی
surface,صفحه
surface,رویه
surface-to-air,زمین به هوا
surfeit,زیاده روی
surfeit,امتلاء
surge,موج خروشان
surge,موج زدن
surge,موج غلتان
surge,موج بلند
surge,موجدار بودن
surgeon,جراح
surgeon,جراح
surgeon general,افسر پزشک
surgery,عمل جراحی
surgery,جراحی
surgery,عمل جراحی
surgery room,اتاق جراحی
surgical,عمل جراحی
surgical operation,جراحی
Suri,سوری
surly,بدمزاج
surmise,گمان بردن
surname,شهرت
surname,ورنام
surpass,برتری یافتن
surplus,اضافات
surplus,مازاد
surplus,افزونی
surprise,شگفتی
surprise,تعجب
surprise,غافلگیر کردن
surprise,درشگفت شدن
surprise,شگفت
surprise,متعجب ساختن
surprise,متعجب ساختن
surprise,مبهوت کردن
surprise attack,غافلگیری
surprised,متعجب
surprised,شگفتزده
surprised,مبهوت
surprised,غافلگیر
surprising,تعجب اور
surprising,شگفت انگیز
surprising,تعجبی
surprisingly,متعجبانه
surprize,متعجب ساختن
surprizing,عجیب
surrender,تسلیم شدن
surrender,تسلیم
surrogate,جانشین
surrogate,جایگیر
surround,احاطه شدن
surround,احاطه کردن
surround,محاصره کردن
surround,محصور کردن
surround,محاط کردن
surround,محاصرهکردن
surround a thing,دور چیزی راگرفتن
surrounded,احاطه کرده
surrounded,محاط
surrounded,محصور
surrounding,اطراف
surrounding,احاطهکننده
surrounding,محاصره
surrounding,احاطه کننده
surrounding,احاطه
surroundings,دور و بر
surroundings,اطراف و جوانب
surtax,جریمه مالیاتی
Surush Yavaghim,سروش یواخیم
surveillance,مبصری
surveillant,بپا
surveillant,مبصر کلاس
surverying,مساحی
survey,تخطیط
survey,بردید
survey,ممیزی
survey,مساحت کردن
survey,مساحی کردن
survey,نقشه برداری
survey,زمینه یابی
survey,مطالعه مجمل
survey,ممیزی کردن
surveying,نقشه بر داری
surveyor,پیمایشگر
surveyor,نقشه بر دار
surveyor,مساح
surveyor,ممیز
surveyor,ممیز
surveyor,نقشه بردار
surveyor,مبصر کلاس
surveyor,مساح
surveyor,نقشه بر دار
survival,بازماندگی
survival,بقاء
survival,بغاء
survival,برزیستی
survival of the fittest,بغاء اصلح
survive,بر زیستن
survive,زنده ماندن
survive,سپری کردن
survive,زنده ماندن
survive,جان به در بردن
survive,جان سالم به در بردن
surviver,بیشتر عمرکننده
survivor,برزیستگر
survivor,باقیمانده
Susa,شوش
Susan,سوسن
Susan,سوزان
susceptibility,فروگیری
susceptible,فروگیر
susceptible,فروگیر
susceptible,مستعد پذیرش
susceptible,مستعد
susceptible,اماده پذیرش
susceptible to change,مستعد تغییر
suspect,مظنون شدن
suspect,مظنون
suspect,مظنون بودن
suspect,سوء ظن داشتن
suspect,گمان کردن
suspect,بو بردن
suspect,شک داشتن
suspect,موردشک
suspect,مظنون
suspected,مظنون
suspend,معوق گذاردن
suspend,اویزان کردن
suspend,موقتا بیکار کردن
suspend,معلق کردن
suspend,اویختن
suspended,تعلیقی
suspended,اویزان
suspended,اونگ
suspended,اونگی
suspended,اویخته
suspended,موقوف
suspender,بند جوراب
suspender,بند شلوار
suspense,درحال تعلیق
suspension,اویزش
suspension,تعلیق
suspension,اندروا
suspension,معلق
suspension,بی تکلیفی
suspension,اویزانی
suspension,اویختگی
suspension bridge,پل معلق
suspensive,درحال تعلیق
suspensive,درحال توقف
suspensive,اویزشی
suspensor,موجب تعلیق
suspensor,اویزگر
suspensor,نگاهدارنده
suspensor,اویزه بند
suspensor,بیضه بند
suspicion,بدگمانی
suspicion,سوءظن
suspicion,ظن
suspicion,سوظن
suspicion,شک
suspicion,سوء ظن
suspicion,مظنون بودن
suspicion,مظنون بودن
suspicious,ظنین
suspicious,مشکوک بودن
suspicious,بدگمان
suspicious,بدخیال
suspicious,کج بین
suspicious,مشکوک
suspire,نفس عمیق کشیدن
sustain,رزق دادن
sustain,طاقت اوردن
sustain,نفقه دادن
sustain,اعاشه کردن
sustain,مقاومت کردن
sustain a loss,خسارت دیدن
sustain a loss,ضرر خوردن
sustain loss,زیان کردن
sustaining,اعاشه
sustenance,استعانت مالی
sustenance,روزی
sustenance,اطعام مساکین
susurration,سخن اهسته
susurrous,شبیه نجوا
susurrus,شبیه نجوا
suttee,ستی
suturated,مشبع
Suzan,سوزان
Suzi Min,سوزی مین
swab,سنبه جراحی
swaddling,پارچه قنداقی
swag,بنوسان دراوردن
swag,کوله پشتی
swage,قالب ریزی کردن
swagger,خود فروشانهگام زدن
swagger,کبر فروشی
Swahili,سواحلی
swallow,چلچله
swallow,پرستو
swallow,عمل بلع
swallow,بلع کردن
swallow,غورت دادن
swallow,بلعیدن
swallowable,فروبردنی
swallower,فروبرنده
swallower,بلعنده
swallower,فروبرنده
swallowing,غورت
swallowing,فروبری
swallowing,غلپ
swallowing,بلع
swamp,مرداب
swamp,لجنزار
swamp,باتلاق
swamp,مرداب
swamp-living,مرداب زی
swampy,لجن زار
swampy,باتلاقی
swan,دجاجه
swan,غو
swan song,صدای قو
swank,شیک وبا
swank,ناز وعشوه
swank,سرحال وچابک
swank,قروغمزه امدن
sward,سطح چمنزار
swarm,هجوم کردن
swarm,ازدحام کردن
swarm,گروه زنبوران
swart,سیاه چرده
swarth,سبزه رو
swarthy,گندمگون
swarthy,تیره روی
swarthy,سبزه تند
swarthy,سیه چرده
swathe,قنداق کردن
swatter,مگس کش
swear,سوگند دادن
swear,سوگند خوردن
swear,ناسزا گفتن
swear,قسم دادن
swear,سوگند
swear,قسم
swear,ناسزا
swear,یمین
swear to God,بخدا
swearing,دشنام
swearing,فحاشی
swearing,لعن
swearword,فحش
sweat,عرق
sweat,عرق ریزی
sweat,رشحه
sweat,عرق کردن
sweatband,زغره
sweater,پلوور
sweating,عرق ریزی
sweating,تعرق
sweating,تعریق
sweaty,عرق دار
Sweden,سوئد
Swedish,سوئدی
sweep,جاروب کردن
sweep,جارو کشیدن
sweep,روبیدن
sweep,جارو کردن
sweeper,جاروب کش
sweeper,جاروب کن
sweeper,جاروب کش
sweeper,کناس
sweeping,جاروب کشی
sweeping,جارو کشی
sweepings,خاشاک
sweepy,زود گذر
sweet,شیرین
sweet,خوش
sweet,شکر بار
sweet,نوشین
sweet apricot,شکر پاره
sweet basil,شاه اسپر غم
sweet basil,شاهسپرم
sweet basil,ریحان
sweet dish,کاچی
sweet fennel,مرزه
sweet lemon,لیمو شیرین
sweet odor,شمیم
sweet odor,شمائم
sweet smile,شکر خنده
sweet spoken,شکر خا
sweet spoken,شکر دهان
sweet tooth,شیرینی دوست
sweet-spoken,شیرین زبان
sweetbread,دنبلان
sweetbrier,گل نسترن
sweeten,شیرین شدن
sweeten,شیرین کردن
sweeten,نباتی کردن
sweetheart,جانا
sweetheart,نگار
sweetheart,محبوبه
sweetheart,دلستان
sweetheart,معشوقه
sweetmeat,غذای شیرین
sweetmeat,شیرینی جات
sweetness,حلاوت
sweetness,شیرینی
sweetpaste,حلول
sweets,حلویات
swell,موجدار کردن
swell,تورق کردن
swell,غلپیدن
swell,اماس کردن
swell,متورم کردن
swell,متورم شدن
swell,باد کردن
swell,باد اوردن
swell,ریع کردن
swelling,مواج
swelling,موجدار
swelling,غمباد
swelling,اماس
swelling,برامدگی
swelling,تورم
swelling,نفخ
swelling,ورم
swelling,برامدگی
swelter,هوای گرم
sweltering,شرجی
swept,کج شده
swift,تکاور
swift,تند کار
swift,تندرو
swift,بادپا
swift,بادپیما
swift footed,جماز
swill,زود خوردن
swim,شنا کردن
swimmable,شناکردنی
swimmer,شناگر
swimmer,شناگر
swimmer,شناکننده
swimming,شناگری
swimming,شنا
swimming pool,استخر
swimming pool,استخر شنا
swimming pool,شناگاه
swimmy,فطرتا گیج
swimsuit,مایو
swimsuit,لباس شنا
swindle,کلاه برداری
swindle,کلاه برداری
swindler,کلاه گذار
swindler,کلاه بردار
swindler,تیغ زننده
swindler,گوش بر
swindler,حقه باز
swineherd,گرازبان
swineherd,خوک بان
swing,نوسان
swing,تاب
swing,تاب دادن
swing,تاب خوردن
swingable,چرخاندنی
swinge,زخم زبان زدن
swinge,قایم زدن
swinger,لذت طلب
swinging,اونگی
swingy,نوسان دار
swinish,شبیه خوک
swipe,کش رفتن
swipe,ضربه سنگین زدن
swirl,باعث چرخش شدن
swirl,چرخ خوری
swirly,گردابی
swirly,پیچی
swirly,چرخشی
swish,پیرومد
swish,فش فش
Swiss,سویسی
switch,کلید
switch,سویچ
switch,راهگزین
switch,راه گزیدن
switch on,روشنکردن
switchblade,چاقوی زامن دار
switchboard,صفحه گزینه
switchboard,صفحه کلید
switchboard,گزینگاه
switchman,سوزن بان
switchman,سوزنجی
switchover,دگرگزینی
swither,مردد بودن
Switzerland,سوئیس
Switzerland,سوییس
Switzerland,سویس
swivel,روی محورگردیده
swollen,متورم
swollen,بادکرده
swollen,بر امده
swollen,اماس کرده
swollen,اماس دار
swollen,تاخیری
swollen,برامده
swollen,برامدگی دار
swollen,ورمکرده
sword,ذوالفقار
sword,شمشیر
sword,سیف
sword fish,خارماهی
sword fish,اره ماهی
sword hilt,دسته شمشیر
sword-shaped,شمشیری
swordfish,اره ماهی
swordfish,شمشیر ماهی
swordmaker,شمشیر ساز
swordsman,شمشیر باز
swordsman,شمشیر زن
swordsman,شمشیرباز
swordsmanship,شمشیر زنی
sycophancy,مزاج گوئی
sycophancy,چاپلوسی
sycophancy,تملق
sycophancy,کاسه لیسی
sycophancy,مفت خوری
sycophant,چاپلوس
sycophant,شیره مال
sycophant,متملق
sycophant,مزاج گوی
sycophant,خوش خدمتی
sycophant,تملق گو
sycophant,چاپلوس
sycophant,مزاج گو
Sydney,سیدنی
syfy,سیفی
syllabary,هجا بندی
syllabic,هجا نما
syllabication,هجا بندی
syllable,سیلاب
syllable,هجا
syllogism,صغری وکبری
syllogism,قضیه منطقی
syllogism,قیاس منطقی
syllogize,استلادل منطقی کردن
syllogize,قیاس کردن
sylva,درخن نامه
sylvatic,غیر متمدن
symbion,هم زی
symbion,هم زیست
symbiosis,زندگی تعاونی
symbol,علامات اختصاری
symbol,نماد
symbolic,نمادی
symbolism,نشان پردازی
symbolism,مکتب رمزی
symbolist,نماد ساز
symbolist,نمادگر
symbolist,نمادپرداز
symbolization,نماد سازی
symbolization,نماد پردازی
symbolize,نما پردازی کردن
symbolizer,نمادگر
symbolizer,نمادپرداز
symbology,نمادشناسی
symbology,نماد شناسی
symmetric,متقارن
symmetrization,هم اراستگی
symmetrize,ایجاد تقارن
symmetrize,متقارن ساختن
sympathetic,غمخوار
sympathetic,دلسوز
sympathetic,همدردانه
sympathetic,همفکر
sympathetic,همدرد
sympathetic,غمخوار
sympathize,اظهار تاسف کردن
sympathize,دلسوزی کردن
sympathizer,غمخوار
sympathizer,همدرد
sympathizer,غمخوار
sympathizer,جانب دار
sympathy,سر سلامتی
sympathy,همفکری
sympathy,همدردی
sympathy,غمخواری
sympathy,دلسوزی
sympatric,هم بوم
sympatric,هم شخصیت
sympatric,هم ناحیه
sympatry,هم محلی
symphonic,شبیه سمفونی
symphonic,هم نوا
symphonious,هم اوا
symphonious,هم اهنگ
symphonious,هم نوا
symphony,هم نوا
symphony,سمفونی
symphony orchestra,هم اوا
symphony orchestra,هم اهنگ
symphsis,عضو پیوسته
symphsis,همرویش
symposiast,همسگالگر
symposium,هم نشست
symposium,همسگالی
symposium,یک موضوع
symptom,علامت
synagog,پرستشگاه یهود
synagogal,کنیسهای
synagogue,پرستشگاه یهود
synagogue,کنیسه
synalepha,هم امیز
synaloepha,هم امیز
synchronism,هم وقتی
synchronism,ایجاد همزمانی
synchronization,همزمانی
synchronize,همزمان کردن
synchronize,انطباق زمانی داشتن
synchrony,هم عصری
synchrony,هم زمانی
synchrony,هم اهنگی
syncopal,غش دار
syncopal,غشی
syncopation,همبرش
syncopative,همبرشی
syncopator,همبرشگر
syncope,سنکوپ
syncretic,وفق دهنده
syndesis,بهم بستگی
syndesis,هم چسبی
syndetic,متصل شده
syndicate,تشکیل اتحادیه دادن
syndicate,سندیکا
syndicator,عضو سندیکا
syneresis,همگرفت
synergetic,همکاری کننده
synergetic,کمک کننده
synergic,همتلاش
synergistic,همکاری کننده
synergistic,هم نیروزادی
synergy,اشتراک مساعی
synergy,کار توام
synesis,ارتباط مفاهیم
synesthesia,همرنجی
syngamy,دگرگانی
syngeneic,مادرزاد
synonym,مرادف
synonym,هم معنی
synonymous,هم معنی
synonymous,مرادف
synonymous,مترادف
synonymy,مترادف نویسی
synonymy,ترادف
synonymy,جناس
synoptic,هم نظیر
syntactic,نحوی
syntax,نحو
synthesize,هم گذاری کردن
synthetic,همگذاشت
synthetic,ترکیبی
synthetic,همگذاشت
synthetic fabric,ابریشم مصنوعی
synthetic fibers,الیاف مببصنوعی
synthetic rubber,لاستیک همگذاشت
synthetic rubber,لاستیک ساختگی
syphilis,سفلیس
syphilis,کوفت
syphilis,سیفیلیسی
syphilitic,سفلیسی
syphilitic,سیفیلیسی
Syria,سوریه
Syria,شامات
syrian,سوریه ای
Syrian,شامی
syrian mallow,خطمی درختی
syringe,ابدزدک
syringe,سرنگ امپول زنی
syringe,سرنگ
syrup,شیره
syrup,شربت
syrupy,شربتی
system,ترتیب
system,نظام
system,سیستم
system check,بررسی سیستم
system check,مقابله سیستم
system resource,وسیله سیستم
system standard,استاندارد سیستم
systematic,ترتیبی
systematization,همست کاری
systematize,اسلوبی کردن
systemic,همستی
systemization,اسلوب سازی
systole,انقباض قلب
syzygy,جفت متقارن
t-shirt,زیرپیراهنی
T-shirt,زیرپیراهن
t-stop,سه راه
tab,صورت حساب
Tabary,طبری
Tabary,طبری
tabby,گربه ماده
tabby,اعتابی
tabby,زن نمام
table,میز
table,لوحه
table,جدول
table of contents,فهرست مندرجات
table salt,نمک طعام
table tennis,تنیس رومیزی
tablecloth,سماط
tablecloth,رومیزی
tablecloth,سفرهن
tablet,قرص
tablet,لوحه
tableware,کارد وچنگال
tableware,ظروف سفره
taboo,تابو
taboos,نواهی
tabor,دمبک
Tabriz,تبریز
Tabrizi,تبریزی
Tabrizi,تبریزی
Tabrizy,تبریزی
Tabrizy,تبریزی
tabula rasa,سپید لوح
tabular,جدولی
tabulating,جدول بندی
tabulator,جدول نویس
tach,نوار اتصال
tache,نوار اتصال
tachygraphy,تند نگاری
tacit consent,رضایت ضمنی
taciturn,کم گفتار
taciturn,کم سخن
tack,پونز زدن
tack,میخچه
tacker,کوک زننده
tacker,جوش دهنده
tackle,لوازم کار
tackle,بعهده گرفتن
tackle,طناب وقرقره
tacks,ردپا
tacky,نخ نما
taco,نان ساجی
tact,مردم داری
tactful,مردم دار
tactful,موقع شناس
tactic,ماهردرفنون جنگی
tactic,جنگ فن
tactic,جنگ فنی
tactical,تاکتیکی
tactical,سوقالجیشی
tactics,جنگ دانی
tactile,لامسه ای
tactility,پساوائی
tactless,موقع نشناس
tactless,بی نزاکت
tactlessness,بی نزاکتی
tactual,لامسه ای
tadpole,بچه قورباغه
tag,علامت زدن
tag line,نقطه حساس
tagalong,موی دماغ
Taghi,تقی
Taher,طاهر
Tahereh,طاهره
Tahmaseb,طهماسب
Tahmineh,تهمینه
Tahmuress,طهمورث
tail,دم
tail,ذنب
tail-skid,سیخک
tailed,دم دار
taille,فرم
tailless,بی دم
tailless sheep,زیل
taillight,چراق عقب
tailor,دوزنده
tailor,خیاط
tailor,درزی
tailpiece,سیم گیر
tailpiece,زه گیر
tailspin,گیجی وبیهوشی
taint,شایبه
taint,الوده کردن
Taiwan,تایوان
Tajik,تاجیک
Tajikistan,تاجیکستان
take,ورد داشتن
take,گرفتن
take,استدن
take,بر داشتن
take,ستاندن
take,کشانیدن
take,بردن
take,بر مالیدن
take a bath,حمام گرفتن
take a bath,حمام کردن
take a chance,دل بدریا زدن
take a loan,عاریه گرفتن
take a punch,مشت خوردن
take a risk,دل به دریا زدن
take advantage,سو استفاده کردن
take attendance,حاضر و قایب کردن
take away,بر گرفتن
take away,سلب کردن
take back,پس گرفتن
take back,بازپس گرفتن
take bribe,رشوه گرفتن
take care,نگه داری کردن
take care of,سرپرستی کردن
take care of,عزیز داشتن
take charge,عهده دار شدن
take dwelling,منزل گرفتن
take examination,امتحان دادن
take hostage,گروگان گرفتن
take into captivity,به اسارت بردن
take leave,مرخصی گرفتن
take lessons,درس گرفتن
take off,از تن خارج کردن
take off,بچاک زدن
take offense,رنجیدن
take out,در اوردن
take out,دراوردن
take out,بیرون اوردن
take out,بیرون بردن
take over,روی کار امدن
take part,شریک شدن
take personally,بدل گرفتن
take picture,عکس گرفتن
take place,صورت گرفتن
take place,عملی شدن
take place,روی دادن
take place,اتفاق افتادن
take place,حدوث کردن
take place,رخ دادن
take place,به وقوع پیوستن
take pledge,گروگانگیری
take possession,متصرف شدن
take possession of,تملک کردن
take pride in,مباهات کردن به
take refuge,التجا بردن
take refuge,پناه بردن
take residence,رحل اقامت افکندن
take room,جاتنگ کردن
take root,ریشه کردن
take root,ریشه دواندن
take sanctuary,متحصن شدن
take sanctuary,بست نشستن
take seriously,جدی گرفتن
take the lead,پیش قدم بودن
take the wheel,پشت رل نشستن
take to water,به اب زدن
take up time,وقت گرفتن
take vacation,مرخصی گرفتن
take vengeance,کینهجویی کردن
take vengeance,کینه توزی کردن
take vote,رای گرفتن
taken,مقتبس
taken,ماخوذ
taken,متخذ
taken,برده
taken,گرفته شده
taken,متخذه
Takhar,تخار
taking,برداشت
taking action,متبادر
taking advantage,بهره گیری
taking advantage,سوء استفاده
taking back,بازگیری
taking easy,تساهل
taking nonsense,ولنگار
taking over,سبقت
taking over,تولی
taking over,تصاحب
taking possession,تملک
taking refuge,التجا
taking sides,سوگیری
Tala,طلا
Talayeh,طلایه
Talbak Nazraf,طلبک نظراف
Talbaneh,طلبانه
Talbot,تالبوت
talc,تالک
tale,سرگذشت
tale,طلق
Talebani,طالبانی
talebearer,غماز
talebearing,غمازی
talebearing,نمامی
talebearing,غماز
Talebi,طالبی
talent,موهبت
talent,خوش طبعی
talent,گنجایش
talent,ذوق
talent,درون داشت
talent,استعداد
talented,صاحب هنر
talented,خوش طبع
talented,خوش ذوق
talented,با ذوق
talented,درون داشت
talented,ادم باذوق
talented,هنرمند
talented,بااستعداد
Taliban,طالبان
Talibani,طالبانی
Talieh,طلیعه
talisman,جادوگرانه
talisman,طلسم
talk,پرحرفی کردن
talk,سخن گفتن
talk,منبر رفتن
talk,گفت و گو
talk,نطاقی کردن
talk,مباحثه
talk,گفت و گو کردن
talk,گفتار
talk,مکالمه کردن
talk,وراجی کردن
talk,گفتگو
talk,پرچانگی کردن
talk,صحبت کردن
talk,ماکره
talk,ور زدن
talk confidentially,محرمانه گفتگو کردن
talk down,از روبردن
talk idle,حرف بیهوده زدن
talk nonsense,جفنگ گفتن
talk nonsensically,کتره گفتن
talk rude,زبان درازی کردن
talkative,پرگو
talkative,وراج
talkative,پرگوی
talkative,پر حرف
talkative,پرحرف
talkative,پرچانه
talkative,باحروف
talkative,حراف
talkative,پر چانه
talkative,رودهدراز
talkative,ادم وراج
talkatively,باوراجی
talkativeness,پرچانگی
talkativeness,رودهدرازی
talkativeness,وراجی
talkativeness,حرافی
talkativeness,پرحرفی
talkativeness,پر چانگی
talker,نطاق
talking,دراییدن
talking,صحبت
talking,گویائی
tall,طویلالقامت
tall,بالابلند
tall,بلند
tall,بلند قد
tall,دیلاق
tall,رشید
tallboy,کلاهک دودکش
talll,بلند بالا
talll,قد بلند
tallow,پیه مالی کردن
tallow-burner,پیه سوز
tallowing,پیه مالی
tallyman,فروشنده اقساطی
talmud,تلمود
talon,چنگال
talon,پاشنه پا
talon,پنجه
tamable,رام شدنی
tamarind,تمر
tamarind,تمر هندی
tambour,بنض نگار
tambourin,دنبک
tambourine,طنبور
tambourine,دف
tame,رام کردن
tame,رام
tame,اموخته
tamed,دست اموز
tameness,اموختگی
tamper,ناخنک مردن
tamper,ور رفتن
tamper with,ور رفتن
tampered with,مخدوش
tampered with,محرف
tamperer,مداخله کننده
tamus,تمیس
tan,برنزه
tan,مازوی دباغی
tan,دباغی کردن
Tana,تانا
tandem,دوپشته
tang,مزه تند
tang,بوی تند
tangent,خط مماس
tangent,مماس
tangent,تانژانت
tangerine,نارنگی
tangible,لمس کردنی
tangle,درهم برهم کردن
tangle,درهم گیر انداختن
tangle,درهم پیچیدن
tangle,گوریده کردن
tangled,سردرگم کردن
tangled,ژولیده
tangled,گوریده
tanglement,گره
tanglement,گوریدگی
tangly,گیردار
tangly,پر گرفتاری
tangly,درهم وبرهم
tango,تانگو
tank,تانک
tank,مخزن
tank,زره پوش
tank,حوض
Tannaz,طناز
tanner,دباغ
tannery,دباغ خانه
tannery,دباغی
tannic acid,جوهر مازو
tannish,سبزه رو
tantamount,هم کف
Tanzania,تانزانیا
tap,شیر فلکه
tap,شیر اب
tap,شیر
tap,ضربت اهسته
tape,باندرل
tape,بانوار بستن
tape,نوار
tape deck,نوار چرخان
tape drive,نوار چرخان
tape measure,نوار متر
tape recorder,ضبط صوت
tapeline,نوار متر
taper off,باریک شونده
taperer,باریک کننده
tapestry,ملیله دوزی
tapeworm,کرم کدو
taphole,سوراخ بشکه
tappet,زیرسوپاب
tar,قیر زدن
tar,قیرمالیدن به
Tara,تارا
Taraneh,ترانه
tarantula,رتیل
tare,ماشک
tare,پارسنگ
Tareh,طره
Tarer,تارر
target,هدف
target,نشانگاه
target,هدف قرار دادن
target,اماج
targum,ترگم
tariff,تعرفه
tariffs,عوارض
